,,,,,,,,,,,,,,FTP DL,,,,,,,,,FTP UL,,,,,,,,,Capacity DL,,,,,,,,,Capacity UL,,,,,,,,,SpeedTest,,,,,,,,,,,,,,,,,,HTTP DL Transfer,,,,,,,HTTP UL Transfer,,,,,,,Browsing,,,,,,,,,Ping Test,,,,,,Youtube,,,,,,,,,,,,,,,Instagram Post Picture,,,,,,Instagram Post Video,,,,,,Whatsapp Call,,,,,,,,,,,Whatsapp Message,,,,SMS Onnet,,,SMS Offnet,,,Voice Call Onnet,,,,,,,,,,,,,,,Voice Call Offnet,,,,,,,,,,,,,,,Average Voice Call,,,,,,,,,,,,,,,Signal Strenght 5G,,Signal Qualty 5G,,Signal Qualty 5G,,Signal Strenght 4G,,Signal Qualty 4G,,Signal Qualty 4G,,Signal Strenght 2G,,Signal Quality 2G,,Bad Signal Strenght 5G,,,Bad Signal Qualty 5G,,,Bad Signal Qualty 5G,,,Bad Signal Strenght 4G,,,Bad Signal Qualty 4G,,,Bad Signal Qualty 4G,,,Bad Signal Strenght 2G,,,Bad Signal Quality 2G,,,,Detail Value 5G,,,,,,,,,,,Detail Value 4G,,,,,,,,,,,Detail Value 2G,,,,,,,,,,,,,
No.,Kode Provinsi,Provinsi,Kode Kabupaten / Kota,Kabupaten / Kota,Jenis Tes,Collection,Kecamatan,Desa,Lokasi Pengukuran,Event,PMT / UPT,Tanggal Pengukuran,Operator,FTP DL Attempts,FTP DL Success Attempts,FTP DL Success (%),Average FTP DL (Mbps),Median FTP DL (Mbps),Max FTP DL (Mbps),Min FTP DL (Mbps),Rank Average DL Speed (Mbps),Rank Median DL Speed (Mbps),FTP UL Attempts,FTP UL Success Attempts,FTP UL Success (%),Average FTP UL Speed (Mbps),Median FTP UL Speed (Mbps),Max FTP UL Speed (Mbps),Min FTP UL Speed (Mbps),Rank Average UL Speed (Mbps),Rank Median UL Speed (Mbps),Capacity DL Attempts,Capacity DL Success Attempts, Capacity Test DL Success (%),Average Capacity Test DL (Mbps),Median Capacity Test DL  (Mbps),Max Capacity Test DL  (Mbps),Min Capacity Test DL  (Mbps),Rank Average DL (Mbps),Rank Median DL (Mbps),Capacity UL Attempts,Capacity UL Success Attempts, Capacity Test UL Success (%),Average Capacity Test UL (Mbps),Median Capacity Test UL  (Mbps),Max Capacity Test UL  (Mbps),Min Capacity Test UL  (Mbps),Rank Average UL (Mbps),Rank Median UL (Mbps),Speed Test Attemps,Speed Test Success Attemps,Speed Test DL Success (%),Average Speed Test DL Speed (Mbps),Median Speed Test DL (Mbps),Max Speed Test DL (Mbps),Min Speed Test DL (Mbps),"Round Trip Time (RTT)
(ms)",Speed Test UL Success (%),Average Speed Test UL Speed (Mbps),Median Speed Test UL (Mbps),Max Speed Test UL (Mbps),Min Speed Test UL (Mbps),"Round Trip Time (RTT)
(ms)",Rank Average DL Speed (Mbps),Rank Average UL Speed (Mbps),Rank Median DL Speed (Mbps),Rank Median UL Speed (Mbps),HTTP DL Attemps,HTTP DL Success Attemps,HTTP DL DL Success (%),Average HTTP DL DL Speed (Mbps),Median HTTP DL DL (Mbps),Rank Average DL Speed (Mbps),Rank Median DL Speed (Mbps),HTTP UL Attemps,HTTP UL Success Attemps,HTTP UL DL Success (%),Average HTTP UL UL Speed (Mbps),Median HTTP UL UL (Mbps),Rank Average UL Speed (Mbps),Rank Median UL Speed (Mbps),Browsing Attemps,Browsing Success Attemps,Browsing Success (%),Average Browsing Speed (Mbps),Max Browsing Speed (Mbps),Min Browsing Speed (Mbps),Browsing Duration (Sec),Browsing RTT (,Rank Browsing Speed (Mbps),Ping Attemps,Ping Success Attemps,Ping Success (%),Packet Loss (%),Average RTT Latency (ms),Persentase RTT Latency <= 250ms,Video Attempts,Video Success Attempts,Youtube SR (%),Average TTFP (s),Average TTFP > 10 Second (%),Average Visual Quality,"Average Freezing Time Ratio
(%)",Average Jerkiness,Quality 144p (%),Quality 240p (%),Quality 360p (%),Quality 480p (%),Quality 720p (%),Quality 1080p / HD (%),Quality 1440p / 2K (%),IG Post Picture Attemps,IG Post Picture Success Attemps,IG Post Picture SR (%),Average IG Post Picture Speed (Mbps),Average IG Post Picture Duration (s),"IG Post Picture Duration > 15 s
(%)",IG Post Video Attemps,IG Post Video Success Attemps,IG Post Video SR (%),Average IG Post Video Speed (Mbps),Average IG Post Video Duration (s),"IG Post Video Duration > 15 s
(%)",WA Call Attempts,WA Call Blocked,WA Call Dropped,WA Call Success (%),WA Call Blocked (%),WA Call Dropped (%),WA Call Average MOS,WA Call MOS >= 1.6 (%),WA Call MOS < 1.6 (%),WA Call Average CST,WA Call CST < 13 Sec (%),WA Message Send Attempts,WA Message Send Failed,WA Message Send Success (%),WA Message Average Duration Send (s),SMS Send Attempts (Onnet),SMS Receive < 1 Minutes (Onnet),SMS Receive< 1 Minutes (Onnet) (%),SMS Send Attempts (Offnet),SMS Receive < 1 Minutes (Offnet),SMS Receive (%) < 1 Minutes (Offnet),Call Attempts (Onnet),Blocked Call (Onnet),Dropped Call (Onnet),Success Call (%) (Onnet),Blocked Call (%) (Onnet),Dropped Call (%) (Onnet),MOS Attempts (Onnet),MOS < 1.6 Attempts (Onnet),Average MOS (Onnet),MOS >= 1.6 (Onnet) (%) ,MOS < 1.6 (Onnet) (%),CST Attempts (Onnet),CST Attempts < 13 Sec (Onnet),Average CST (Onnet),CST < 13 Detik (%) (Onnet),Call Attempts (Offnet),Blocked Call (Offnet),Dropped Call (Offnet),Success Call (%) (Offnet),Blocked Call (%) (Offnet),Dropped Call (%) (Offnet),MOS Attempts (Offnet),MOS < 1.6 Attempts (Offnet),Average MOS (Offnet),MOS >= 1.6 (Offnet) (%) ,MOS < 1.6 (Offnet) (%),CST Attempts (Offnet),CST Attempts < 13 Sec (Offnet),Average CST (Offnet),CST < 13 Detik (%) (Offnet),Call Attempts,Blocked Call,Dropped Call,Success Call (%),Blocked Call (%),Dropped Call (%),MOS Attempts,MOS < 1.6 Attempts,Average MOS,MOS >= 1.6 (%) ,MOS < 1.6 (%),CST Attempts,CST Attempts < 13 Sec,Average CST,CST < 13 Detik (%),Average SS-RSRP,Category,Average SS-RSRQ,Category,Average SS-SINR,Category,Average RSRP,Category,Average RSRQ,Category,Average SINR,Category,Average RX Level,Category,Average RX Qual,Category,Total SS-RSRP Sample,Bad SS-RSRP Sample,Bad SS-RSRP (%),Total SS-RSRQ Sample,Bad SS-RSRQ Sample,Bad SS-RSRQ (%),Total SS-SINR Sample,Bad SS-SINR Sample,Bad SS-SINR (%),Total RSRP Sample,Bad RSRP Sample,Bad RSRP (%),Total RSRQ Sample,Bad RSRQ Sample,Bad RSRQ (%),Total SINR Sample,Bad SINR Sample,Bad SINR (%),Total RxLev Sample,Bad RxLev Sample,Bad RxLev (%),Total RxQual Sample,Bad RxQual Sample,Bad RxQual (%),-,Average FTP DL (Mbps),Average FTP UL (Mbps),Average Capacity DL (Mbps),Average Capacity UL (Mbps),Average Speed Test DL (Mbps),Average Speed Test UL (Mbps),Average HTTP DL (Mbps),Average HTTP UL (Mbps),"Average PING Latency/RTT
(ms)",Average IG Post Picture Speed (Mbps),Average IG Post Video Speed (Mbps),Average FTP DL (Mbps),Average FTP UL (Mbps),Average Capacity DL (Mbps),Average Capacity UL (Mbps),Average Speed Test DL (Mbps),Average Speed Test UL (Mbps),Average HTTP DL (Mbps),Average HTTP UL (Mbps),"Average PING Latency/RTT
(ms)",Average IG Post Picture Speed (Mbps),Average IG Post Video Speed (Mbps),Average FTP DL (Mbps),Average FTP UL (Mbps),Average Capacity DL (Mbps),Average Capacity UL (Mbps),Average Speed Test DL (Mbps),Average Speed Test UL (Mbps),Average HTTP DL (Mbps),Average HTTP UL (Mbps),"Average PING Latency/RTT
(ms)",Average IG Post Picture Speed (Mbps),Average IG Post Video Speed (Mbps),Lat,Long,Distance (Km)
1,74,Sulawesi Tenggara,7411,Kolaka Timur,DT,20260212 DT Kab. Kolaka Timur,-,-,DT Kab. Kolaka Timur,Reguler,Loka Kendari,12-Feb-2026,IOH,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,12,12,100.00,96.39,113.45,159.00,15.70,42.50,100.00,28.56,27.60,52.30,0.67,42.50,1,2,1,2,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,12,9,75.00,4.60,9.28,0.53,5.17,91.89,3,12,12,100.00,0.00,110.69,100.00,12,10,83.33,1.71,0.00,4.14,0.05,0.05,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0,0,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,27,1,0,96.30,3.70,0.00,3.74,98.51,1.49,2.39,96.15,50,0,100.00,0.52,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-103.41,Cukup,-12.55,Cukup,6.85,Kurang,-94.93,Cukup,3.0,Baik,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,80855,36576,45.24,80855,14034,17.36,77417,41741,53.92,565,59,10.44,62,23,37.10,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,96.39,28.56,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.346268,122.003514,382.465
2,74,Sulawesi Tenggara,7411,Kolaka Timur,DT,20260212 DT Kab. Kolaka Timur,-,-,DT Kab. Kolaka Timur,Reguler,Loka Kendari,12-Feb-2026,TSEL,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,31,31,100.00,94.08,75.80,281.00,23.60,30.06,100.00,31.58,32.50,71.10,0.37,30.06,2,1,3,1,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,31,31,100.00,7.72,14.55,4.08,1.91,34.13,2,31,31,100.00,0.00,63.66,100.00,31,31,100.00,1.08,0.00,4.35,0.00,0.00,0.00,0.00,0.00,3.23,0.00,96.77,0.00,0,0,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,31,0,0,100.00,0.00,0.00,3.85,92.86,7.14,1.54,100.00,26,0,100.00,0.53,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-100.78,Baik,-12.63,Cukup,7.36,Kurang,-99.27,Cukup,3.5,Baik,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,131011,50700,38.70,131011,19393,14.80,68473,39349,57.47,353,218,61.76,54,17,31.48,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,94.08,31.58,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.346268,122.003514,191.009
3,74,Sulawesi Tenggara,7411,Kolaka Timur,DT,20260212 DT Kab. Kolaka Timur,-,-,DT Kab. Kolaka Timur,Reguler,Loka Kendari,12-Feb-2026,XLS,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,13,12,92.31,84.27,112.00,127.00,4.69,48.25,92.31,22.52,10.72,80.50,0.54,48.25,3,3,2,3,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,12,8,66.67,8.99,11.69,4.27,2.17,56.25,1,12,12,100.00,0.00,98.58,100.00,13,12,92.31,1.50,0.00,4.32,0.00,0.00,0.00,0.00,0.00,0.00,16.67,83.33,0.00,0,0,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,12,1,0,91.67,8.33,0.00,3.62,93.33,6.67,1.72,100.00,20,0,100.00,0.57,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-104.65,Cukup,-11.22,Baik,7.61,Kurang,-83.47,Baik Sekali,2.8,Baik,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,31305,18435,58.89,31305,2813,8.99,22678,12795,56.42,7289,241,3.31,39,14,35.90,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,77.78,20.79,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.346268,122.003514,202.445
4,74,Sulawesi Tenggara,7411,Kolaka Timur,ST,20260212 ST Lapangan Tirawuta Kab. Kolaka Timur,-,-,ST Lapangan Tirawuta,Reguler,Loka Kendari,12-Feb-2026,IOH,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,7,7,100.00,90.36,96.30,113.00,66.90,38.43,100.00,21.26,19.20,28.00,15.70,38.43,2,3,2,3,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,7,1,14.29,4.34,4.34,4.34,2.71,68.00,2,7,7,100.00,0.00,114.27,100.00,7,7,100.00,1.96,0.00,4.20,0.00,0.00,0.00,0.00,0.00,14.29,42.86,42.86,0.00,0,0,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,6,0,0,100.00,0.00,0.00,3.69,100.00,0.00,1.87,100.00,16,0,100.00,0.58,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-96.06,Baik,-12.57,Cukup,13.82,Cukup,No Data,No Data,No Data,No Data,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,17589,258,1.47,17589,464,2.64,16004,439,2.74,0,0,No Data,0,0,No Data,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,90.36,21.26,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.045748,121.895336,0.013
5,74,Sulawesi Tenggara,7411,Kolaka Timur,ST,20260212 ST Lapangan Tirawuta Kab. Kolaka Timur,-,-,ST Lapangan Tirawuta,Reguler,Loka Kendari,12-Feb-2026,TSEL,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,11,11,100.00,80.31,76.30,158.00,51.00,29.00,100.00,45.50,41.90,72.40,32.40,29.00,3,1,3,1,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,11,11,100.00,6.38,7.13,5.70,1.81,33.73,1,11,11,100.00,0.00,61.15,100.00,11,11,100.00,1.01,0.00,4.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0,0,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,10,0,0,100.00,0.00,0.00,4.15,100.00,0.00,1.37,100.00,10,0,100.00,0.51,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-91.12,Baik Sekali,-13.88,Cukup,2.15,Kurang,No Data,No Data,No Data,No Data,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,16622,5,0.03,16622,4229,25.44,11894,10948,92.05,0,0,No Data,0,0,No Data,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,80.31,45.50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.045748,121.895336,0.02
6,74,Sulawesi Tenggara,7411,Kolaka Timur,ST,20260212 ST Lapangan Tirawuta Kab. Kolaka Timur,-,-,ST Lapangan Tirawuta,Reguler,Loka Kendari,12-Feb-2026,XLS,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,11,11,100.00,116.36,115.00,125.00,109.00,37.18,100.00,32.34,31.80,39.80,27.40,37.18,1,2,1,2,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,11,0,0.00,No Data,0.00,0.00,No Data,No Data,No Data,11,11,100.00,0.00,102.91,100.00,11,11,100.00,1.08,0.00,4.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0,0,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,10,0,0,100.00,0.00,0.00,3.68,100.00,0.00,1.66,100.00,20,0,100.00,0.50,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-96.16,Baik,-10.81,Baik,17.84,Baik,No Data,No Data,No Data,No Data,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,19141,288,1.50,19141,536,2.80,13282,147,1.11,0,0,No Data,0,0,No Data,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,116.36,32.34,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.045748,121.895336,0.02
7,74,Sulawesi Tenggara,7411,Kolaka Timur,ST,20260212 ST RSUD Koltim Kab. Kolaka Timur,-,-,ST RSUD Koltim,Reguler,Loka Kendari,12-Feb-2026,IOH,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,11,7,63.64,155.03,156.00,198.00,92.20,27.14,63.64,47.03,48.10,57.40,31.40,27.14,1,1,1,2,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,10,0,0.00,No Data,0.00,0.00,No Data,No Data,No Data,10,10,100.00,0.00,95.69,100.00,10,10,100.00,1.68,0.00,4.47,0.00,0.00,0.00,0.00,0.00,0.00,10.00,90.00,0.00,0,0,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,7,0,0,100.00,0.00,0.00,3.79,100.00,0.00,2.11,100.00,22,4,81.82,0.44,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-81.16,Baik Sekali,-10.73,Baik,17.35,Baik,No Data,No Data,No Data,No Data,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,20830,0,0.00,20830,0,0.00,19453,132,0.68,0,0,No Data,0,0,No Data,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,98.65,29.93,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.154679,121.915875,0.007
8,74,Sulawesi Tenggara,7411,Kolaka Timur,ST,20260212 ST RSUD Koltim Kab. Kolaka Timur,-,-,ST RSUD Koltim,Reguler,Loka Kendari,12-Feb-2026,TSEL,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,11,11,100.00,51.64,51.10,61.70,35.60,27.27,100.00,46.80,49.40,54.70,34.80,27.27,2,2,2,1,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,11,11,100.00,4.26,6.99,0.51,3.97,29.27,1,11,11,100.00,0.00,63.74,100.00,11,11,100.00,3.02,0.00,4.02,0.00,0.00,0.00,9.09,18.18,9.09,18.18,45.45,0.00,0,0,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,11,0,0,100.00,0.00,0.00,4.07,100.00,0.00,1.43,100.00,11,0,100.00,0.49,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-88.73,Baik Sekali,-12.17,Cukup,9.01,Cukup,No Data,No Data,No Data,No Data,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,7156,0,0.00,7156,0,0.00,7144,2378,33.29,0,0,No Data,0,0,No Data,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,51.64,46.80,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.154679,121.915875,0.001
9,74,Sulawesi Tenggara,7411,Kolaka Timur,ST,20260212 ST RSUD Koltim Kab. Kolaka Timur,-,-,ST RSUD Koltim,Reguler,Loka Kendari,12-Feb-2026,XLS,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,11,11,100.00,7.05,6.47,10.60,5.02,82.18,100.00,1.25,1.38,2.02,0.36,82.18,3,3,3,3,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,11,0,0.00,No Data,0.00,0.00,No Data,No Data,No Data,11,11,100.00,0.00,108.74,100.00,11,9,81.82,4.13,11.11,3.80,0.01,0.02,11.11,22.22,0.00,11.11,11.11,44.44,0.00,0,0,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,7,1,0,85.71,14.29,0.00,3.70,100.00,0.00,1.66,100.00,16,0,100.00,0.62,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-119.45,Kurang,-13.99,Cukup,-0.89,Kurang,-63.46,Baik Sekali,No Data,No Data,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,8795,8795,100.00,8795,750,8.53,8721,8721,100.00,957,0,0.00,0,0,No Data,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,7.05,1.25,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.154679,121.915875,0.005
